unique_id,ds,y
AirPassengers,1949-01-01,112
AirPassengers,1949-02-01,118
AirPassengers,1949-03-01,132
AirPassengers,1949-04-01,129
AirPassengers,1949-05-01,121
AirPassengers,1949-06-01,135
AirPassengers,1949-07-01,148
AirPassengers,1949-08-01,148
AirPassengers,1949-09-01,136
AirPassengers,1949-10-01,119
AirPassengers,1949-11-01,104
AirPassengers,1949-12-01,118
AirPassengers,1950-01-01,115
AirPassengers,1950-02-01,126
AirPassengers,1950-03-01,141
AirPassengers,1950-04-01,135
AirPassengers,1950-05-01,125
AirPassengers,1950-06-01,149
AirPassengers,1950-07-01,170
AirPassengers,1950-08-01,170
AirPassengers,1950-09-01,158
AirPassengers,1950-10-01,133
AirPassengers,1950-11-01,114
AirPassengers,1950-12-01,140
AirPassengers,1951-01-01,145
AirPassengers,1951-02-01,150
AirPassengers,1951-03-01,178
AirPassengers,1951-04-01,163
AirPassengers,1951-05-01,172
AirPassengers,1951-06-01,178
AirPassengers,1951-07-01,199
AirPassengers,1951-08-01,199
AirPassengers,1951-09-01,184
AirPassengers,1951-10-01,162
AirPassengers,1951-11-01,146
AirPassengers,1951-12-01,166
AirPassengers,1952-01-01,171
AirPassengers,1952-02-01,180
AirPassengers,1952-03-01,193
AirPassengers,1952-04-01,181
AirPassengers,1952-05-01,183
AirPassengers,1952-06-01,218
AirPassengers,1952-07-01,230
AirPassengers,1952-08-01,242
AirPassengers,1952-09-01,209
AirPassengers,1952-10-01,191
AirPassengers,1952-11-01,172
AirPassengers,1952-12-01,194
AirPassengers,1953-01-01,196
AirPassengers,1953-02-01,196
AirPassengers,1953-03-01,236
AirPassengers,1953-04-01,235
AirPassengers,1953-05-01,229
AirPassengers,1953-06-01,243
AirPassengers,1953-07-01,264
AirPassengers,1953-08-01,272
AirPassengers,1953-09-01,237
AirPassengers,1953-10-01,211
AirPassengers,1953-11-01,180
AirPassengers,1953-12-01,201
AirPassengers,1954-01-01,204
AirPassengers,1954-02-01,188
AirPassengers,1954-03-01,235
AirPassengers,1954-04-01,227
AirPassengers,1954-05-01,234
AirPassengers,1954-06-01,264
AirPassengers,1954-07-01,302
AirPassengers,1954-08-01,293
AirPassengers,1954-09-01,259
AirPassengers,1954-10-01,229
AirPassengers,1954-11-01,203
AirPassengers,1954-12-01,229
AirPassengers,1955-01-01,242
AirPassengers,1955-02-01,233
AirPassengers,1955-03-01,267
AirPassengers,1955-04-01,269
AirPassengers,1955-05-01,270
AirPassengers,1955-06-01,315
AirPassengers,1955-07-01,364
AirPassengers,1955-08-01,347
AirPassengers,1955-09-01,312
AirPassengers,1955-10-01,274
AirPassengers,1955-11-01,237
AirPassengers,1955-12-01,278
AirPassengers,1956-01-01,284
AirPassengers,1956-02-01,277
AirPassengers,1956-03-01,317
AirPassengers,1956-04-01,313
AirPassengers,1956-05-01,318
AirPassengers,1956-06-01,374
AirPassengers,1956-07-01,413
AirPassengers,1956-08-01,405
AirPassengers,1956-09-01,355
AirPassengers,1956-10-01,306
AirPassengers,1956-11-01,271
AirPassengers,1956-12-01,306
AirPassengers,1957-01-01,315
AirPassengers,1957-02-01,301
AirPassengers,1957-03-01,356
AirPassengers,1957-04-01,348
AirPassengers,1957-05-01,355
AirPassengers,1957-06-01,422
AirPassengers,1957-07-01,465
AirPassengers,1957-08-01,467
AirPassengers,1957-09-01,404
AirPassengers,1957-10-01,347
AirPassengers,1957-11-01,305
AirPassengers,1957-12-01,336
AirPassengers,1958-01-01,340
AirPassengers,1958-02-01,318
AirPassengers,1958-03-01,362
AirPassengers,1958-04-01,348
AirPassengers,1958-05-01,363
AirPassengers,1958-06-01,435
AirPassengers,1958-07-01,491
AirPassengers,1958-08-01,505
AirPassengers,1958-09-01,404
AirPassengers,1958-10-01,359
AirPassengers,1958-11-01,310
AirPassengers,1958-12-01,337
AirPassengers,1959-01-01,360
AirPassengers,1959-02-01,342
AirPassengers,1959-03-01,406
AirPassengers,1959-04-01,396
AirPassengers,1959-05-01,420
AirPassengers,1959-06-01,472
AirPassengers,1959-07-01,548
AirPassengers,1959-08-01,559
AirPassengers,1959-09-01,463
AirPassengers,1959-10-01,407
AirPassengers,1959-11-01,362
AirPassengers,1959-12-01,405
AirPassengers,1960-01-01,417
AirPassengers,1960-02-01,391
AirPassengers,1960-03-01,419
AirPassengers,1960-04-01,461
AirPassengers,1960-05-01,472
AirPassengers,1960-06-01,535
AirPassengers,1960-07-01,622
AirPassengers,1960-08-01,606
AirPassengers,1960-09-01,508
AirPassengers,1960-10-01,461
AirPassengers,1960-11-01,390
AirPassengers,1960-12-01,432
